in.comstock_building_type,in.census_division_name,in.state,utility,sample_n,calc.weighted.electricity.cooling.energy_consumption..tbtu,calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,calc.weighted.electricity.fans.energy_consumption..tbtu,calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,calc.weighted.electricity.heating.energy_consumption..tbtu,calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,calc.weighted.electricity.net.energy_consumption..tbtu,calc.weighted.electricity.pumps.energy_consumption..tbtu,calc.weighted.electricity.purchased.energy_consumption..tbtu,calc.weighted.electricity.pv.energy_consumption..tbtu,calc.weighted.electricity.refrigeration.energy_consumption..tbtu,calc.weighted.electricity.total.energy_consumption..tbtu,calc.weighted.electricity.water_systems.energy_consumption..tbtu,weight,in.sqft..ft2,calc.weighted.sqft..ft2,percent.calc.weighted.electricity.cooling.energy_consumption..tbtu,percent.calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.fans.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,percent.calc.weighted.electricity.heating.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.net.energy_consumption..tbtu,percent.calc.weighted.electricity.pumps.energy_consumption..tbtu,percent.calc.weighted.electricity.purchased.energy_consumption..tbtu,percent.calc.weighted.electricity.pv.energy_consumption..tbtu,percent.calc.weighted.electricity.refrigeration.energy_consumption..tbtu,percent.calc.weighted.electricity.total.energy_consumption..tbtu,percent.calc.weighted.electricity.water_systems.energy_consumption..tbtu
FullServiceRestaurant,South Atlantic,VA,Dominion,2935,0.6463982084568008,0.07604547534166964,0.6664172190187488,0.010271917764292812,0.0,0.34229561133206304,0.8382652464434431,0.18578891522233743,3.5620019752892618,0.004436841475380192,3.5620019752892618,0.0,0.2163371315640356,3.5620019752892618,0.5757311856041006,6054.9381339640795,20440000.0,24247627.815875385,0.18147048006740882,0.02134908286666353,0.1870906371310001,0.0028837484750295944,0.0,0.09609641255301832,0.23533542436493723,0.05215856602865863,1.0,0.0012456033169436654,1.0,0.0,0.06073470286227659,1.0,0.16163134933616843
Grocery,South Atlantic,VA,Dominion,935,0.2638450654939595,0.030181959356216512,0.30872528719887415,0.002555492402034493,0.0,0.2044873160191494,0.6251268936914305,0.22819532086030048,2.6611920707976155,0.0,2.6611920707976155,0.0,0.9946719904623915,2.6611920707976155,0.003402504097394857,559.7918093159228,38927000.0,22058674.770816606,0.09914544252150861,0.011341518595149857,0.11601014845438896,0.000960281082330355,0.0,0.07684049500337653,0.23490483853127772,0.0857492863308831,1.0,0.0,1.0,0.0,0.37376933494479686,1.0,0.0012785638942532452
Hospital,South Atlantic,VA,Dominion,37,0.6106270740867655,0.04060796299846407,0.3367780362444905,0.0005536655660203,0.0367934962045035,0.0,1.100725332632049,0.4542000671531621,2.7934504765892982,0.1526837558206583,2.7934504765892982,0.0,0.01717973250092016,2.7934504765892982,0.043301668809887305,168.3805548537217,11225000.0,40596358.790569894,0.21859241078521607,0.014536847292902404,0.12055987355669331,0.00019820131792574523,0.013171343652895906,0.0,0.39403789036417597,0.16259463733458554,1.0,0.0546577636153692,1.0,0.0,0.006150004320783947,1.0,0.015501140676299754
LargeHotel,South Atlantic,VA,Dominion,1945,1.9604326192440091,0.15906189383861696,0.8353196304602077,0.05227726578155159,0.04494119675281007,0.5066135674129447,2.1490277492352967,0.9144007542338389,7.313293308854778,0.34793504770297573,7.313293308854778,0.0,0.15721827293195834,7.313293308854778,0.1860653724542689,4027.3019438179454,206014000.0,188172319.867318,0.2680642682374519,0.021749694306124473,0.11421935305791998,0.00714825230901862,0.00614513801851708,0.0692729726564567,0.29385225759143285,0.12503269260740604,1.0,0.04757569989456097,1.0,0.0,0.021497602556375228,1.0,0.025442077132197743
LargeOffice,South Atlantic,VA,Dominion,1414,3.183067616731107,0.2780738677880678,1.9760837926334685,0.005149321827956595,0.13970345188078045,1.4117669819996927,5.369196595040447,2.346057623464775,15.674248807878286,0.6282191117076982,15.674248807878286,0.0,0.0,15.674248807878286,0.3369302916574658,2693.657190516329,362047000.0,415897917.591532,0.2030762466352591,0.017740809859308898,0.12607199342403172,0.0003285211234728143,0.008912928051171541,0.09006919561530131,0.34254889410341305,0.1496759208189668,1.0,0.04007969500853775,1.0,0.0,0.0,1.0,0.02149578558993627
MediumOffice,South Atlantic,VA,Dominion,4397,2.0339530023355383,0.2929568106053992,1.5545995579266694,0.00467776759555324,0.021411085351279925,0.8440756857383062,2.4099235586298913,1.0240474736218497,8.46915491205493,0.12635176326463038,8.46915491205493,0.0,0.0,8.46915491205493,0.1571577867622022,5725.158680989692,227988500.0,225767885.50933987,0.24016008957876364,0.03459103223964019,0.18356017501980795,0.0005523299129757257,0.002528125364763791,0.0996646884492401,0.2845530142800463,0.12091495364717303,1.0,0.014919052086859603,1.0,0.0,0.0,1.0,0.018556489802601793
Outpatient,South Atlantic,VA,Dominion,866,0.8374233613239439,0.10786013554388915,0.6983494828043707,0.0009232427881933353,0.0,0.42624975339220794,1.088445558795099,0.3773675823769841,3.666606518504896,0.003615176330633538,3.666606518504896,0.0,0.0,3.666606518504896,0.12637754224508693,3752.451967799663,22131500.0,62772105.62973372,0.22839193600337937,0.029416883158728046,0.19046207420400574,0.0002517976181883293,0.0,0.11625183974363754,0.29685365836280847,0.1029201198635463,1.0,0.0009859733550322903,1.0,0.0,0.0,1.0,0.03446716783142002
PrimarySchool,South Atlantic,VA,Dominion,2131,2.225922179802709,0.2820837051568812,1.3283622602220728,0.07375272239353056,0.02521752203969537,1.3787795682000592,0.6936410805064503,0.8590684892427407,7.614928965758519,0.27287772325813137,7.614928965758519,0.0,0.19628790584485742,7.614928965758519,0.2789330189591859,6512.02818783008,87250000.0,246702440.52072436,0.29231030122695123,0.03704351103277599,0.1744418452483562,0.009685280417607163,0.00331158992461901,0.18106269597522368,0.09108963243458924,0.11281372329350013,1.0,0.03583457238868021,1.0,0.0,0.025776721848291762,1.0,0.0366297598064858
QuickServiceRestaurant,South Atlantic,VA,Dominion,1872,0.2439935983434041,0.047231815685567224,0.28583606850482435,0.0,0.0,0.16594147540958323,0.40261200119226437,0.09881089077600069,1.4366151694119738,0.0,1.4366151694119738,0.0,0.13914940867104333,1.4366151694119738,0.053036305217058405,3297.7509051831717,7013500.0,9755535.572492847,0.16983921897697488,0.03287715227516347,0.1989649521951108,0.0,0.0,0.11550864764814181,0.2802504176237113,0.06878034763926748,1.0,0.0,1.0,0.0,0.09685920880815918,1.0,0.03691754503662027
RetailStandalone,South Atlantic,VA,Dominion,6434,1.7419692058937126,0.3332212431880629,1.6671328859718688,0.0,0.0,0.5935576395271633,0.7902434900273196,1.5398133253785846,6.665946123765938,0.0,6.665946123765938,0.0,0.0,6.665946123765938,0.0,17878.179354252028,149089500.0,191064099.05193228,0.26132362511648743,0.049988589316681875,0.2500969637345372,0.0,0.0,0.08904326985346708,0.11854933648651667,0.23099696529030217,1.0,0.0,1.0,0.0,0.0,1.0,0.0
RetailStripmall,South Atlantic,VA,Dominion,5757,2.521832491466677,0.6596304382410553,2.399586284003192,0.0309988710129351,0.0,1.2720449642087768,1.6171384944812095,1.9331589482512015,12.165061469949931,0.0,12.165061469949931,0.0,0.47261343028353847,12.165061469949931,1.258019613597302,15527.425061402662,215227000.0,192453017.89086354,0.20730125348697118,0.054223354306139004,0.1972522941976608,0.0025481886046781056,0.0,0.10456543662775361,0.13293303108051335,0.15891074229476607,1.0,0.0,1.0,0.0,0.038850065118946224,1.0,0.10341251597493817
SecondarySchool,South Atlantic,VA,Dominion,1990,1.9466203523198515,0.215912233172284,0.9764648691673244,0.044254891211675584,0.022530891974687488,0.6059991215785026,0.6710941798770335,0.6402724555031152,5.5254966728886,0.17005201241520976,5.5254966728886,0.0,0.11885558117517854,5.5254966728886,0.11343838769925467,4250.653133908138,166331000.0,214767646.81020465,0.3522978055296166,0.03907562450117451,0.17671983660010993,0.008009215068179592,0.004077622937542892,0.10967323979252355,0.12145409175066993,0.11587600054935798,1.0,0.030775878166679004,1.0,0.0,0.021510388696523025,1.0,0.02052998932310491
SmallHotel,South Atlantic,VA,Dominion,1109,0.22872639182428808,0.07005329581484739,0.09396297877313804,0.0,0.0,0.05338489758167582,0.36911377613243446,0.17077141812275376,1.0703708425924139,0.0004495361943430976,1.0703708425924139,0.0,0.0,1.0703708425924139,0.08390790844687586,2944.6130326729094,41740500.0,26460268.81153949,0.21368892230875605,0.06544768693921062,0.08778544316992215,0.0,0.0,0.04987514182690067,0.34484662833158763,0.15954416107706115,1.0,0.00041998172638403635,1.0,0.0,0.0,1.0,0.07839143697492058
SmallOffice,South Atlantic,VA,Dominion,8551,1.0764107936786946,0.2884195207581432,1.4842525815145649,0.0,0.0,0.6143970944036186,1.3611556891680745,0.7977816299818321,5.7359637427121415,0.0006508539898483143,5.7359637427121415,0.0,0.0,5.7359637427121415,0.11288993609415006,32913.13368885452,85464500.0,156026112.0904152,0.18765997170856144,0.05028266106538699,0.2587625459453766,0.0,0.0,0.10711314121959783,0.23730200367767282,0.1390841479769564,1.0,0.00011346898604009835,1.0,0.0,0.0,1.0,0.019681075606097224
Warehouse,South Atlantic,VA,Dominion,5371,0.8122211936410191,0.5959762896546386,1.057896642904175,0.0,0.0,0.4073299089312906,2.609057963639209,1.3622669403007197,6.845448279204676,0.000687550446849561,6.845448279204676,0.0,0.0,6.845448279204676,0.0,38555.16227224256,367564500.0,412566033.48883975,0.11865127899781391,0.08706168907376229,0.1545401556999397,0.0,0.0,0.05950375962501837,0.38113763441396376,0.19900332085468506,1.0,0.00010043906824016537,1.0,0.0,0.0,1.0,0.0
