in.comstock_building_type_group,in.census_division_name,in.state,utility,sample_n,calc.weighted.electricity.cooling.energy_consumption..tbtu,calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,calc.weighted.electricity.fans.energy_consumption..tbtu,calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,calc.weighted.electricity.heating.energy_consumption..tbtu,calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,calc.weighted.electricity.net.energy_consumption..tbtu,calc.weighted.electricity.pumps.energy_consumption..tbtu,calc.weighted.electricity.purchased.energy_consumption..tbtu,calc.weighted.electricity.pv.energy_consumption..tbtu,calc.weighted.electricity.refrigeration.energy_consumption..tbtu,calc.weighted.electricity.total.energy_consumption..tbtu,calc.weighted.electricity.water_systems.energy_consumption..tbtu,weight,in.sqft..ft2,calc.weighted.sqft..ft2,percent.calc.weighted.electricity.cooling.energy_consumption..tbtu,percent.calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.fans.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,percent.calc.weighted.electricity.heating.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.net.energy_consumption..tbtu,percent.calc.weighted.electricity.pumps.energy_consumption..tbtu,percent.calc.weighted.electricity.purchased.energy_consumption..tbtu,percent.calc.weighted.electricity.pv.energy_consumption..tbtu,percent.calc.weighted.electricity.refrigeration.energy_consumption..tbtu,percent.calc.weighted.electricity.total.energy_consumption..tbtu,percent.calc.weighted.electricity.water_systems.energy_consumption..tbtu
Education,South Atlantic,VA,APCo,1281,0.43828785654612634,0.0567698484245543,0.2789956667910116,0.009535442701203467,0.002625169054526948,0.3320650762303493,0.13608413222544288,0.1654827325591398,1.5569303151181557,0.0361974052054158,1.5569303151181557,0.0,0.049656269730373966,1.5569303151181557,0.05122884491770518,1915.6111903758697,64250500.0,51583373.58173163,0.2815076900297009,0.036462677791874086,0.1791959884664707,0.0061245147638350275,0.0016861185301846498,0.21328191313761452,0.08740540980160402,0.1062878222308757,1.0,0.023249213438732978,1.0,0.0,0.03189370086008348,1.0,0.03290374939729876
Food Sales,South Atlantic,VA,APCo,322,0.03299361345565591,0.003767641529962104,0.03880462184538059,0.0003254432865980179,0.0,0.029214982786403384,0.08053796920587111,0.028791393316774976,0.33938527773987,0.0,0.33938527773987,0.0,0.12448331690445281,0.33938527773987,0.00046622358507448174,88.44193137818883,12654000.0,2956183.177667715,0.09721580639966551,0.011101369968233871,0.1143379645216176,0.0009589198705533177,0.0,0.08608205689109447,0.2373054298118417,0.08483394892233019,1.0,0.0,1.0,0.0,0.366790562435257,1.0,0.001373729550613654
Food Service,South Atlantic,VA,APCo,1756,0.11558811521197788,0.015355943363918864,0.12876218291645825,0.0006806422172477015,0.0,0.09408025755637743,0.161066777463612,0.03474352554110239,0.6854508200981926,0.0005281169723456443,0.6854508200981926,0.0,0.044306364819664594,0.6854508200981926,0.0903366942010364,1200.2376660659309,9340000.0,4389211.7879499905,0.16863079279038515,0.02240269165002835,0.18785035941457148,0.0009929847587755423,0.0,0.137253111088116,0.2349793343897944,0.050687116452972206,1.0,0.0007704666138848448,1.0,0.0,0.06463828406145548,1.0,0.13179164945501917
Healthcare,South Atlantic,VA,APCo,193,0.06475944143140518,0.008517826289440339,0.04947876182154376,2.2043101020280295e-05,0.0,0.0385473930050389,0.08269264833025666,0.028172892084803922,0.2831486971515856,0.0011480727270371937,0.2831486971515856,0.0,0.0,0.2831486971515856,0.009810267473264505,382.0315529350274,6185500.0,8347935.559781838,0.2287117761193009,0.030082519803650246,0.1747447977662951,7.78499115200921e-05,0.0,0.13613833788683227,0.2920467201937595,0.09949857572440594,1.0,0.004054663639940978,1.0,0.0,0.0,1.0,0.034647051432528796
Lodging,South Atlantic,VA,APCo,779,0.10965446335043869,0.01480648060653457,0.04348231226683244,0.0022151562638786345,0.0017322726466344335,0.03409356366779469,0.13695952051667162,0.061414484305623,0.4413178498757683,0.013358144234671474,0.4413178498757683,0.0,0.008470407348680044,0.4413178498757683,0.015130798025616534,482.1785914606609,45520500.0,13487059.369116992,0.24847049214371592,0.03355060442423215,0.0985283334428299,0.005019412345324815,0.003925226788633342,0.07725398752258057,0.3103421276869403,0.13916156874894428,1.0,0.030268760346838033,1.0,0.0,0.019193439266198903,1.0,0.034285488406770495
Mercantile,South Atlantic,VA,APCo,4374,0.5006378370084006,0.11593630441670955,0.46285631822969464,0.004800893291426842,0.0,0.32819101237796594,0.28219729461988186,0.3962529763741102,2.343049724982551,0.0,2.343049724982551,0.0,0.06513195716822369,2.343049724982551,0.18704265929908406,4228.883813698345,122957000.0,47892736.20236923,0.2136693180987138,0.0494809406648734,0.19754438554783194,0.0020489933441180364,0.0,0.14007001596195745,0.12044016463286258,0.16911846647943468,1.0,0.0,1.0,0.0,0.027797940638544807,1.0,0.07982871951233429
Office,South Atlantic,VA,APCo,4083,0.24503272992197564,0.052831433776650824,0.2737216486803384,0.00022428429792706713,0.0023533253331553036,0.1625407982877257,0.3235102499821316,0.1683196773749391,1.2676011085540344,0.010974376096377659,1.2676011085540344,0.0,0.0,1.2676011085540344,0.028092463711546528,5240.416608695142,105704000.0,39857535.20278996,0.19330428813010977,0.041678279878530705,0.2159367381688199,0.00017693602223408476,0.0018565188348878662,0.12822708752056683,0.25521455274771976,0.13278599729763813,1.0,0.00865759427182597,1.0,0.0,0.0,1.0,0.022161911599771232
Warehouse and Storage,South Atlantic,VA,APCo,2042,0.10970071241697546,0.07791623568484876,0.13340047933327087,2.465794171798722e-06,0.0,0.07996404480987196,0.36762874314467514,0.19408294505762164,0.9627686365759774,7.203617848407444e-05,0.9627686365759774,0.0,0.0,0.9627686365759774,0.0,4356.535495712697,150297000.0,58456007.97394635,0.11394296433161631,0.08092934556110247,0.13855922831855097,2.56114925032057e-06,0.0,0.0830563458052173,0.38184536676653935,0.20158835434010886,1.0,7.482189982867153e-05,1.0,0.0,0.0,1.0,0.0
